name,img,export,set,description_1,description_2,source,symbol,rune,si unit,tags,alt names,related
68,10,50,,,,,,,,,,
body,y,y,objects,Collection of matter with a defined contiguous border in three-dimensional space.,A group of matter that occupies a specific| continuous region within three-dimensional space.,https://en.wikipedia.org/wiki/Physical_object,,,,mechanics,,
mass,y,y,objects,Quantity that determines an object’s inertia and its response to a force.,A fundamental characteristic of an object| once thought to be tied to the amount of matter present| but later found to differ even among particles with seemingly similar amounts of matter.,https://en.wikipedia.org/wiki/Mass,m,m,,fundamentals| mechanics| property,,
time,y,y,objects,Continued sequence of events that occurs in an apparently irreversible succession from the past| through the present| and into the future.,The ongoing progression of events from the past to the present| and into the future| often considered an irreversible process.,https://en.wikipedia.org/wiki/Time,t,t,,fundamentals| mechanics,,
vacuum,y,y,objects,Space devoid of matter.,An area completely empty of any physical matter.,https://en.wikipedia.org/wiki/Vacuum,,0,,,,
speed,y,y,objects,The magnitude of the change of position over time.,The rate at which an object's location shifts over a given period.,https://en.wikipedia.org/wiki/Speed,v,v,,fundamentals| mechanics| kinematics,,
velocity,y,y,objects,The speed in combination with the direction of motion of an object.,The combined measurement of how fast something is moving and in what direction.,https://en.wikipedia.org/wiki/Velocity,v,v,,fundamentals| mechanics,,
acceleration,y,y,objects,The rate of change of the velocity of an object with respect to time.,The measure of how quickly an object's speed changes over time.,https://en.wikipedia.org/wiki/Acceleration,a,a,,fundamentals| mechanics,,
impulse,y,y,objects,Change in momentum of an object.,The variation in an object's momentum due to external influences.,https://en.wikipedia.org/wiki/Impulse_(physics),J,J,,fundamentals| mechanics,,
momentum,y,y,objects,Product of the mass and velocity of an object.,A measure obtained by multiplying an object's mass by its speed.,https://en.wikipedia.org/wiki/Momentum,p,p,,fundamentals| mechanics| newton,,
displacement,y,y,objects,Change is position of an object.,The shift in an object's location from one point to another.,https://en.wikipedia.org/wiki/Displacement_(geometry),d,d,m,,,
distance,,,objects,Measurement of how far apart the objects are.,A measurement indicating how much space separates two objects.,https://en.wikipedia.org/wiki/Distance,,,,mechanics| fundamentals,,
force,,y,gravitation,Influence that can cause an object to change its velocity unless counterbalanced by other forces.,A push or pull that can alter an object's speed or direction unless other factors counter it.,https://en.wikipedia.org/wiki/Force,F,F,,fundamentals| mechanics| concept,,
gravity,,y,gravitation,Fundamental interaction observed as mutual attraction between all things that have mass.,A fundamental force that causes any two objects with mass to attract each other.,https://en.wikipedia.org/wiki/Gravity,g_0| g_n,G,,,,<card>
newton,,y,gravitation,The unit of force in the international system of units (SI). One newton is| the force needed to accelerate one kilogram of mass at the rate of one metre per second squared in the direction of the applied force.,A standard unit for measuring force| defined as the amount of force required to move a kilogram of mass by one meter per second squared.,https://en.wikipedia.org/wiki/Newton_(unit),N,N,,unit of measurement| mechanics,,
inertia,,y,gravitation,Tendency of object in motion to stay in motion and objects at rest to stay at rest.,The natural tendency of objects to maintain their current state| either moving or at rest| unless acted upon by an external force.,https://en.wikipedia.org/wiki/Inertia,,,,fundamentals| mechanics,moment of inertia,
first law of motion,,y,gravitation,Physics law that states that a body remains at rest| or in motion at a constant speed in a straight line| except insofar as it is acted upon by a force.,Physics law that states that an object will stay still or continue moving in a straight line at the same speed unless influenced by an external force.,https://en.wikipedia.org/wiki/Newton%27s_laws_of_motion,,>,,mechanics| law,,
second law of motion,,y,gravitation,At any instant of time| the net force on a body is equal to the body's acceleration multiplied by its mass or| equivalently| the rate at which the body's momentum is changing with time.,At any given moment| the total force on an object is equal to the object's mass multiplied by its acceleration| or the rate at which its momentum changes over time.,https://en.wikipedia.org/wiki/Newton%27s_laws_of_motion,,<,,mechanics| law,,
third law of motion,,y,gravitation,If two bodies exert forces on each other| these forces have the same magnitude but opposite direction.,When two objects apply forces on each other| these forces are equal in strength but act in opposite directions.,https://en.wikipedia.org/wiki/Newton%27s_laws_of_motion,,/=,,mechanics| law,,
newtons law of gravitation,,y,gravitation,Every particle attracts every other particle in the universe with a force that is proportional to the product of their masses| and inversely proportional to the square of the distance between their centers.,Every object in the universe pulls on every other object| with the force being stronger if the objects have more mass and weaker as the distance between them increases.,https://en.wikipedia.org/wiki/Newton%27s_law_of_universal_gravitation,,G,,,,
weight,,y,gravitation,Force acting on an object due to acceleration of gravity.,The pull experienced by an object due to the gravitational acceleration of a planet or celestial body.,https://en.wikipedia.org/wiki/Weight,W,W,Newton (N),fundamentals| mechanics,,
free fall,,y,gravitation,Any motion of a body where gravity is the only force acting upon it.,A type of movement where an object is only influenced by gravitational pull.,https://en.wikipedia.org/wiki/Free_fall,,,,,,
space,,y,planetary motion,Three-dimensional continuum containing positions and directions.,A boundless| three-dimensional field that includes all possible positions and directions.,https://en.wikipedia.org/wiki/Space,,8,,fundamentals| mechanics,,
projectile,,y,planetary motion,Object propelled by the application of an external force and then moves freely under influence of gravity and air resistance.,An object thrown or launched into the air| subject only to gravity and air resistance.,https://en.wikipedia.org/wiki/Projectile,,,,,,
centripetal force,,y,planetary motion,Force that makes a body follow a curved path. The direction of this force is orthogonal to the motion of the body and towards the fixed point of the instantaneous center of curvature of the path.,The inward force required to keep an object moving in a circular path.,https://en.wikipedia.org/wiki/Centripetal_force,\vec{F_c},F,,,,
kepler's first law,,y,planetary motion,The orbit of a planet is an ellipse with the Sun at one of the two foci.,Planets move in elliptical orbits with the Sun at one foci.,https://en.wikipedia.org/wiki/Kepler%27s_laws_of_planetary_motion,,>,,,,
kepler's second law,,y,planetary motion,A line segment joining a planet and the Sun sweeps out equal areas during equal intervals of time.,A planet sweeps out equal areas in equal times as it orbits the Sun| meaning it moves faster when closer to the Sun and slower when farther away.,https://en.wikipedia.org/wiki/Kepler%27s_laws_of_planetary_motion,,<,,,,
kepler's third law,,y,planetary motion,The ratio of the square of an object's orbital period with the cube of the semi-major axis of its orbit is the same for all objects orbiting the same primary.,For objects orbiting the same star| if you take the square of the time it takes them to complete an orbit| and compare it to the cube of their orbits semi-major axis| that ratio will be the same.,https://en.wikipedia.org/wiki/Kepler%27s_laws_of_planetary_motion,,\=,,,,
orbit,,y,planetary motion,Curved trajectory of an object such as the trajectory of a planet around a star| or a natural satellite around a planet etc. Normally| refers to a regularly repeating trajectory| although it may also refer to a non-repeating trajectory.,The curved path of an object| such as a planet or satellite| around another object due to gravity.,https://en.wikipedia.org/wiki/Orbit,,,,,orbital revolution,
orbital period,,y,planetary motion,Amount of time a given astronomical object takes to complete one orbit around another object.,The time it takes for an object to complete one orbit around another object.,https://en.wikipedia.org/wiki/Orbital_period,,,,,revolution period,
ellipse,,y,planetary motion,A plane curve surrounding two focal points| such that the sum of the distances to the focal points is a constant.,An oval-shaped curve| the path of planets in their orbits according to Kepler’s laws.,https://en.wikipedia.org/wiki/Ellipse,,0,,geometry,,
foci,,y,planetary motion,A point that helps define an ellipse| parabola or hyperbola.,Two fixed points inside an ellipse; in planetary orbits| one focus is typically occupied by the Sun.,https://www.mathsisfun.com/definitions/focus.html,,:,,geometry,focuses,
energy,,y,energy,Quantitative property that is transferred to a body or to a physical system| recognizable in the performance of work and in the form of heat and light.,The capacity to do work or cause change; exists in various forms like kinetic| potential| thermal| etc.,https://en.wikipedia.org/wiki/Energy,,,Joule (J),,,
potential energy,,y,energy,Energy held by an object due to its position relative to other objects| stresses within itself| elastic charge or other factors.,The energy an object possesses due to its position or configuration.,https://en.wikipedia.org/wiki/Potential_energy,,,Joule (J),,,
kinetic energy,,y,energy,Energy held by an object due to its motion.,The energy an object has due to its motion.,https://en.wikipedia.org/wiki/Kinetic_energy,K,K,Joule (J),,,
law of conservation of energy,,y,energy,Total energy in an isolated system remains constant.,Energy cannot be created or destroyed| only transferred or transformed from one form to another.,https://en.wikipedia.org/wiki/Conservation_of_energy,,\=,,,,
joule,,y,energy,Unit of energy equal to the amount of work done when a force of one newton displaces a mass through a distance of one meter in direction of that force.,The unit of energy in the International System of Units (SI)| equivalent to the energy transferred when applying a force of one newton over a distance of one meter.,https://en.wikipedia.org/wiki/Joule,J,J,,,,
work,,y,energy,Energy transfer to or from an object via application of force along displacement. ,The transfer of energy when a force is applied to an object causing it to move; calculated as force times distance.,https://en.wikipedia.org/wiki/Work_(physics),,,Joule (J),,,
heat,,y,energy,Thermal energy transferred between systems due to a temperature difference.,A form of energy transfer between objects due to a temperature difference.,https://en.wikipedia.org/wiki/Heat,Q,Q,Joule (J),,,
temperature,,y,energy,Physical quantity that quantitatively expresses the attribute of hotness or coldness. Measured with a thermometer| and represents the average kinetic energy of the vibrating and colliding atoms making up a substance.,A physical quantity that measures the degree of hotness or coldness of a substance. It is measured using a thermometer and represents the average kinetic energy of the atoms vibrating and colliding within the substance.,https://en.wikipedia.org/wiki/Temperature,T,T,Kelvin (K),,,
kelvin,,y,energy,Base unit of temperature. Represented on an absolute temperature scale that starts at the absolute zero.,The fundamental unit of temperature| measured on an absolute scale that begins at absolute zero.,https://en.wikipedia.org/wiki/Kelvin,K,K,,,,
absolute zero,,y,energy,The lowest temperature that is theoretically possible| at which the motion of particles which constitutes heat would be minimal.,Value of temperature equal to -273.15°C or zero the Kelvin scale.,https://www.google.com/search?client=firefox-b-d&sca_esv=06ff7eeddb29ca03&q=absolute+zero&si=ACC90nyj24cUGopiOVnGD91130XTQj-qL3xhlNkzMqw3kFoMY4mdfhoNDXqpjOGqDQGa3Tlj8NBJGE_5l9KMSF9BukIcFLKMIsmgEFrWNEvjOemB8IyL9Mk%3D&expnd=1&sa=X&ved=2ahUKEwid3ruer_GIAxUZGhAIHf5TA2IQ2v4IegQIQxAR&biw=852&bih=870&dpr=2,,0,,,,
power,,y,electricity,Amount of energy transferred or converted per unit time,Rate at which energy is transferred or transformed over a specific time interval.,https://en.wikipedia.org/wiki/Power_(physics),P,P,,,,
watt,,y,electricity,Unit of power| equal to 1 joule per second. Used to quantify the rate of energy transfer.,The unit of power in the SI system| representing one joule of energy transferred per second.,https://en.wikipedia.org/wiki/Watt,W,W,,,,
volt,,y,electricity,Unit of electric potential| electric potential difference (voltage)| and electromotive force in the international system of units.,Electric potential between two points of a conductive wire when an electric current of one ampere dissipates one watt of power between those points.,https://en.wikipedia.org/wiki/Volt,V,V,,,,
ampere,,y,electricity,Unit of electric current in the international system of units. Equal to 1 coulomb moving past a point per second.,The standard unit for measuring electric current in the international system of units| equivalent to the movement of 1 coulomb of charge past a point per second.,https://en.wikipedia.org/wiki/Ampere,A,A,,,amp,
coulomb,,y,electricity,Unit of electric charge| equal to the electric charge delivered by 1 ampere current in 1 second and is defined in terms of elementary charge (e)| at about 6.24e18 e.,A unit of electric charge| defined as the charge carried by a current of 1 ampere flowing for 1 second| and approximately equal to 6.24 x 10^18 elementary charges (e).,https://en.wikipedia.org/wiki/Coulomb,C,C,,,,
voltage,,y,electricity,Difference in electric potential between two points. In static electric field| corresponds to the work needed per unit of charge to move a positive test charge from the first point to the second point.,The difference in electric potential between two points| corresponding to the work required per unit charge to move a positive test charge between those points in a static electric field.,https://en.wikipedia.org/wiki/Voltage,V| ∆V| U| ∆U,V,Volt (V),,electrical potential difference| electric pressure| electric tension,
electric potential,,y,electricity,Amount of work or energy required per unit of electric charge to move the charge from a reference point to a specific point in an electric field.,The amount of energy or work needed per unit of electric charge to move the charge from a reference point to a specific location within an electric field.,https://en.wikipedia.org/wiki/Electric_potential,V| φ,V,Volt (V),,electric field potential| potential drop| electrostatic potential,
electric current,,y,electricity,Flow of charged particles| such as electrons or ions| moving through an electrical conductor or space.,Net rate of flow of electric charge throguh a surface.,https://en.wikipedia.org/wiki/Electric_current,I,I,,,,
electrical insulator,,y,electricity,Thermal energy transfered between systems due to a temperature difference.,A material that resists the free flow of electric current.,https://en.wikipedia.org/wiki/Insulator_(electricity),,\+,,,,
electrical conductor,,y,electricity,Object or type of material that allows the flow of charge in one or more directions.,An object or material that allows the movement of electric charge in one or more directions.,https://en.wikipedia.org/wiki/Electrical_conductor,,\-,,,,
magnetism,,,magnetism,,,,,,,,,
magnetic field,,,magnetism,,,,,,,,,
permanent magnet,,,magnetism,,,,,,,,,
ferromagnetism,,,magnetism,,,,,,,,,
electromagnet,,,magnetism,,,,,,,,,
magnetic coercity,,,magnetism,,,,,,,,,
magnetic moment,,,magnetism,,,,,,,,,
-,,,magnetism,,,,,,,,,
-,,,magnetism,,,,,,,,,
-,,,magnetism,,,,,,,,,
,,,trigonometry,,,,,,,,,
second law of thermodymaics,,,,,,,,,,,,
first law of thermodymaics,,,,,,,,,,,,
kinetic molecular theory,,,,,,,,,,,,
root-mean-speed of a gas,,,,,,,,,,,,
Maxwell-Boltzmann distribution,,,,,,,,,,,,
Conservation of angular momentum,,,,,,,,,,,,
Electromagnetic spectrum,,,,,,,,,,,,
Law of conservation of momentum,,,,,,,,,,,,
Work-kinetic energy theorem,,,,,,,,,,,,